expedient;identificador;descripcio_contracte;data_adj;estat_licitacio;organ_contractacio;CPV;valor_estimat;link;metode_cerca;time_download;downloaded_documents;error_download;comment;downloaded documents
GCASU1900015;3995884;Suministro de Sistema de fijación intramedular para fracturas de cadera y clavo femoral trocantérico de titanio para el Hospital Universitario Infanta Sofía.;08/11/2019 0:00;Resuelta;Hospital Universitario Infanta Sofía;"33184100;";792700,0;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-sistfijacion-intramedular-fracturas-cadera-clavo-femoral-trocanterico;Proveïdor: A28218675;41,46;13;;;0
CCA. 6VR2M2V;4006118;2019/451750 Acuerdo Marco con una única empresa, para el suministro de prótesis urológicas y ginecológicas con destino a los centros que integran la Plataforma de Logística Sanitaria de Córdoba.;23/01/2020 0:00;Resuelta;Servicio Andaluz de Salud;"33184100;";632368,29;https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc_sirec/perfiles-licitaciones/detalle-licitacion.jsf?idExpediente=000000171038;Proveïdor: A28218675;51,19;14;;;0
CP00111/2019;4136327;Suministro de material de osteosíntesis específico para extremidades inferiores con destino a los hospitales de ASEPEYO, Mutua colaboradora con la Seguridad Social, nº 151.;17/06/2020 0:00;Resuelta;Subdirección General Sanitaria de ASEPEYO. Mutua Colaboradora con la Seguridad Social. num. 151;"33184100;";4000000,0;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=q6wHQJaqjL2iEJrVRqloyA%3D%3D;CPV prefix 33:  | Keywords: osteosintesis, Proveïdor: A28218675;59,72;8;;;0
(A02006757)-PA-08-2020;4161145;Suturas mecánicas;03/03/2020 0:00;Resuelta;Centro de Gestion Integrada y Proyectos Corporativos;"33141121;";4079474,52;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=7swvaE5JOcirz3GQd5r6SQ%3D%3D;Proveïdor: A28218675;137,73;21;;;0
LICT/99/114/2019/0005;4204377;Contratación de Implantes Quirúrgicos para Cirugías de Miembro Superior y Miembro Inferior para los Hospitales de FREMAP, Mutua Colaboradora con la Seguridad Social nº 61.;04/03/2020 0:00;Resuelta;Director Gerente de FREMAP;"33184100;";8708936,28;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=dSAh8Hg7UCgBPRBxZ4nJ%2Fg%3D%3D;Proveïdor: A28218675;229,9;29;;;0
PA HUPA 81/19;4287496;Medios de cultivo en placas y tubos, técnicas analíticas de indentificación, procesamiento de micobacterias y otras con destino al Hospital Universitario Príncipe de Asturias;;Resuelta;Hospital Universitario Príncipe de Asturias;"33696500;";1848823,03;https://contratos-publicos.comunidad.madrid/contrato-publico/medios-cultivo-placas-tubos-tecnicas-analiticas-indentificacion-procesamiento;CPV prefix 33:  | Keywords: placas;28,71;10;;;0
CS/AH01/1101171620/20/PSS;4318840;Subministrament d'instrumental d'extracció de material d'osteosíntesi pel Servei de Traumatologia de l'Hospital Universitari Vall d'Hebron.;03/03/2023 12:23;Adjudicada;Institut Català de la Salut (ICS);"33183100;";30641,26;https://contractaciopublica.cat/ca/detall-publicacio/200005441;CPV prefix 33:  | Keywords: osteosintesi, Proveïdor: A28218675;29,34;1;;"Sense seccions ""Formali"" o ""Exec""";0
CCA. +DL8P7I;4380983;2019/687414 Acuerdo Marco con una única empresa para el suministro  de material de cirugía craneomaxilofacial (cierres craneales), con cesión de uso del instrumental necesario para la utilización del material, con destino al H.U. Reina Sofía.;10/02/2021 0:00;Resuelta;Servicio Andaluz de Salud;"33184000;";356158,29;https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc_sirec/perfiles-licitaciones/detalle-licitacion.jsf?idExpediente=000000191655;CPV: 33184000;51,42;12;;;0
2020-0-22;4422300;Suministro de Clavo trocantérico para el Servicio de Traumatología;;Resuelta;Hospital Universitario 12 de Octubre;"33141770;";1225268,0;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-clavo-trocanterico-servicio-traumatologia;CPV: 33141770, Proveïdor: A28218675;42,54;15;;;0
CCA. +GP7PI5;4454195;2019/774392. Acuerdo Marco con una única empresa para el suministro de material específico de columna: instrumentación posterior para cirugía de escoliosis idiopática y neuromuscular, con destino al Hospital Universitario Reina Sofía.;;Resuelta;Servicio Andaluz de Salud;"33184000;";1640674,66;https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc_sirec/perfiles-licitaciones/detalle-licitacion.jsf?idExpediente=000000193680;CPV: 33184000, Proveïdor: A28218675;43,15;12;;;0
PIC2019_25290;4470637;Contratación del suministro de material quirúrgico y de curación para el Hospital FRATERNIDAD-MUPRESPA Habana.;20/11/2020 0:00;Resuelta;Gerencia de Fraternidad Muprespa - Mútua Colaboradora con la Seguridad Social nº 275;"33140000;";673280,0;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=F42Qdpuj7qSrz3GQd5r6SQ%3D%3D;Proveïdor: A28218675;86,27;11;;;0
CCA. +8TM1BK;4482945;2019/774476 Acuerdo Marco con una única empresa para el suministro de material de cirugía craneomaxilofacial con cesión de uso del instrumental necesario para la utilización del material, con destino al Hospital Universitario Reina Sofía.;18/01/2021 0:00;Resuelta;Servicio Andaluz de Salud;"33184000;";919435,53;https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc_sirec/perfiles-licitaciones/detalle-licitacion.jsf?idExpediente=000000194886;CPV: 33184000;51,7;14;;;0
PAPC 2019-1-52;5433803;Suministro de Prótesis Varias de Neuroradiología para el Hospital Universitario de Getafe.;15/06/2020 0:00;Resuelta;Hospital Universitario de Getafe;"33184000;";325280,0;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-protesis-varias-neuroradiologia-hospital-universitario-getafe;CPV: 33184000;41,56;14;;;0
PA 2020-0-032;5624429;Suministro de Cementos Óseos para Traumatología del Hospital Clínico San Carlos de Madrid;29/01/2021 0:00;Resuelta;Hospital Universitario Clínico San Carlos;"33162000;33141770;";386883,0;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-cementos-oseos-traumatologia-hospital-clinico-san-carlos-madrid;CPV: 33141770;75,01;27;;;0
PA HUPA 29/20;5961657;Adquisición de Dispositivo interespinoso para cirugía vertebral con destino al Hospital Universitario Príncipe de Asturias;;Resuelta;Hospital Universitario Príncipe de Asturias;"33141770;";332183,25;https://contratos-publicos.comunidad.madrid/contrato-publico/adquisicion-dispositivo-interespinoso-cirugia-vertebral-destino-hospital;CPV: 33141770;22,9;8;;;0
CCA. 6KW8IYF;5988417;2020/223979 Acuerdo Marco con una única empresa para el suministro de prótesis de cadera, con cesión de uso de determinado equipamiento necesario para la implantación del material.;18/01/2021 0:00;Resuelta;Servicio Andaluz de Salud;"33184100;";3861853,01;https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc_sirec/perfiles-licitaciones/detalle-licitacion.jsf?idExpediente=000000220468;Proveïdor: A28218675;42,07;10;;;0
GCASU2000005;6169572;Suministro de instrumentos para corte y sellado de vasos sanguíneos para el Hospital Universitario Infanta Sofía.;14/09/2020 0:00;Resuelta;Hospital Universitario Infanta Sofía;"33190000;";2131390,0;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-instrumentos-corte-sellado-vasos-sanguineos-hospital-universitario;Proveïdor: A28218675;56,58;17;;;0
PACU 2020-1-21;6170116;Suministro de Terminales para Equipos Quirúrgicos para el Hospital Universitario de Getafe;18/11/2020 0:00;Adjudicada;Hospital Universitario de Getafe;"33140000;";2437589,4;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-terminales-equipos-quirurgicos-hospital-universitario-getafe-0;Proveïdor: A28218675;60,81;22;;;0
(A02018350)-PA 4 HMS/2021;6231575;Material sanitario e implantes para cirugía plástica;03/12/2020 0:00;Adjudicada;Gerencia Sector Sanitario de Zaragoza 2;"33184400;";967295,34;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=zgj3zDXBKdQuf4aBO%2BvQlQ%3D%3D;Proveïdor: A28218675;190,41;23;;;0
(A02018349)-2021-0-017;6253004;Prótesis de mama;13/11/2020 0:00;Adjudicada;Gerencia Sector Sanitario de Zaragoza 3;"33184000;";412162,54;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=vNiyQ%2BSc1Ht7h85%2Fpmmsfw%3D%3D;CPV: 33184000;56,8;7;;;0
PAPC 2020-1-16;6294351;Suministro de endoprótesis de aorta torácica y abdominal para el Hospital Universitario de Getafe;;Resuelta;Hospital Universitario de Getafe;"33184000;";1811157,99;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-endoprotesis-aorta-toracica-abdominal-hospital-universitario-getafe-0;CPV: 33184000;48,84;17;;;0
(A02018349)-2021-0-004;6310737;Material quirúrgico diverso para cirugía laparoscópica;27/11/2020 0:00;Adjudicada;Gerencia Sector Sanitario de Zaragoza 3;"33141000;";2128208,13;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=ZOPukganleUBPRBxZ4nJ%2Fg%3D%3D;Proveïdor: A28218675;75,73;10;;;0
2020/LIC/0008;6367740;Suministro de Material de Osteosintesis, Implantes Quirurgicos e Instrumental que precisa el Servicio de cirugía Ortopédica y Traumatología de EGARSAT, Mutua Colaboradora Con la Seguridad Social Nº 276;15/02/2021 0:00;Resuelta;Gerencia de EGARSAT;"33183300;33184100;";7462000,0;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2F1JLZ4%2F4Dkt7h85%2Fpmmsfw%3D%3D;CPV prefix 33:  | Keywords: osteosintesis, CPV: 33183300;194,68;30;;Cap document extret d'enllaços interiors;0
PAPC 2020-1-39;6368177;Suministro de Implantes de Artroscopia para el Hospital Universitario de Getafe;21/12/2020 0:00;Adjudicada;Hospital Universitario de Getafe;"33184000;";853116,97;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-implantes-artroscopia-hospital-universitario-getafe;CPV: 33184000;44,66;16;;;0
P.A.S. 2020-5-15;6455654;Suministro de electrodos de retorno para el Hospital Universitario La Paz;;Resuelta;Hospital Universitario La Paz;"33162000;";92218,8;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-electrodos-retorno-hospital-universitario-paz;Proveïdor: A28218675;19,59;6;;;0
PAPC 2020-1-15;6510177;"Suministro de Implantes de&nbsp;Cadera para el Hospital Universitario de Getafe";12/02/2021 0:00;Adjudicada;Hospital Universitario de Getafe;"33184000;";724619,5;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-implantes-cadera-hospital-universitario-getafe-0;CPV: 33184000;53,93;19;;;0
2020000025;6636833;Suministro de material de endocirugía: Kit de obesidad para el Servicio de Cirugía General y Digestivo del Hospital Universitario Ramón y Cajal.;;Resuelta;Hospital Universitario Ramón y Cajal;"33140000;";1857542,4;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-material-endocirugia-kit-obesidad-servicio-cirugia-general-digestivo;Proveïdor: A28218675;25,58;8;;;0
PAPC 2021-1-2;6671767;Suministro de implantes de hombro del Hospital Universitario de Getafe;25/02/2021 0:00;Resuelta;Hospital Universitario de Getafe;"33184000;";936669,25;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-implantes-hombro-hospital-universitario-getafe-0;CPV: 33184000;42,89;15;;;0
PA/08/2021;6723742;Electrodos de superficie para registro electrocardiográfico y placas electroquirúrgicas.;03/05/2021 0:00;Resuelta;Centro de Gestion Integrada y Proyectos Corporativos;"33140000;";1452542,38;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=oQVYFaarIC6mq21uxhbaVQ%3D%3D;CPV prefix 33:  | Keywords: placas;152,83;21;;;0
CP00096/2019;6736182;Suministro de material de suturas, hemostáticos, mallas quirúrgicas y otros para Asepeyo, Mutua Colaboradora con la Seguridad Social, núm 151.;11/06/2021 0:00;Resuelta;Subdirección General Sanitaria de ASEPEYO. Mutua Colaboradora con la Seguridad Social. num. 151;"33141121;33141122;33141127;33141100;33141128;";2070640,0;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=XiKUwkSjvlxvYnTkQN0%2FZA%3D%3D;Proveïdor: A28218675;83,57;11;;;0
2020/02334;6770805;Suministro de Material Fungible para Sistema de Navegación CARTO 3 de la OSI Araba-Sede Txagorritxu;;Resuelta;OSAKIDETZA - Servicio Vasco de Salud -Director Gerente;"33140000;";2435145,0;https://www.contratacion.euskadi.eus/webkpe00-kpeperfi/es/contenidos/anuncio_contratacion/exposakisap2020002334/es_doc/index.html;Proveïdor: A28218675;16,74;2;;;0
2020000037;6834845;"Suministro de&nbsp;material de diagnóstico&nbsp;de electrofisiología&nbsp;cardiaca para la Unidad de Arritmias del Servicio de Cardiología &nbsp;del Hospital Universitario Ramón y Cajal.";;Resuelta;Hospital Universitario Ramón y Cajal;"33141200;";1647490,0;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-material-diagnostico-electrofisiologia-cardiaca-unidad-arritmias;Proveïdor: A28218675;26,4;8;;;0
PAPC 2021-1-5;6904434;Suministro de Implantes de Rodilla para el Hospital Universitario de Getafe;21/05/2021 0:00;Adjudicada;Hospital Universitario de Getafe;"33184000;";2173584,83;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-implantes-rodilla-hospital-universitario-getafe-0;CPV: 33184000;62,9;23;;;0
PAPC 2021-1-4;6904436;Suministro de Prótesis para Neuroradiología Intervencionista para el Hospital Universitario de Getafe;;Adjudicada;Hospital Universitario de Getafe;"33184000;";2363900,0;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-protesis-neuroradiologia-intervencionista-hospital-universitario-getafe;CPV: 33184000;44,13;15;;;0
PA SUM 21-007;7066619;Suministro de implantes columna para traumatología del Hospital Universitario de Fuenlabrada;09/07/2021 0:00;Resuelta;Hospital Universitario de Fuenlabrada;"33184100;";344400,26;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-implantes-columna-traumatologia-hospital-universitario-fuenlabrada;Proveïdor: A28218675;21,78;7;;;0
2022-0-038;7159119;Cementos óseos;25/06/2021 0:00;Resuelta;Gerencia Sector Sanitario de Zaragoza 3;"33140000;";417672,38;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=jP0Mr6UbzoCXQV0WE7lYPw%3D%3D;Proveïdor: A28218675;58,16;5;;;0
2022-0-005;7248453;Prótesis para Neurocirugía;25/06/2021 0:00;Resuelta;Gerencia Sector Sanitario de Zaragoza 3;"33184100;";2820148,53;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=0690TRbW3bguf4aBO%2BvQlQ%3D%3D;Proveïdor: A28218675;70,86;6;;;0
2020-3-65;7267610;"Suministro de Cosentyx 150 mg., medicamentos de distribución exclusiva de la firma ""NOVARTIS FARMACEUTICA, S.A.” para el tratamiento de pacientes con Psoriasis en Placas de moderada a grave,&nbsp; con destino al Servicio de Farmacia, del Hospital Universitario 12 de Octubre.";08/04/2021 0:00;Resuelta;Hospital Universitario 12 de Octubre;"33600000;";4240075,2;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-cosentyx-150-mg-medicamentos-distribucion-exclusiva-firma-novartis;CPV prefix 33:  | Keywords: placas;15,51;5;;;0
2022-0-030;7420764;Suministro de prótesis para Radiología Vascular Intervencionista;30/07/2021 0:00;Resuelta;Gerencia Sector Sanitario de Zaragoza 3;"33184000;";1761686,64;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=d1GEXjKHTnmrz3GQd5r6SQ%3D%3D;CPV: 33184000;39,88;3;;;0
A/SUM-015485/2021;7422885;"Suministro de suturas con bases de producto natural, mineral y PTF no absorbible, suturas sintéticas no absorbibles y absorbibles y suturas con antiséptico para el Hospital General Universitario ""Gregorio Marañón"".";13/10/2021 0:00;Resuelta;Hospital General Universitario Gregorio Marañón;"33140000;";3398792,02;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-suturas-bases-producto-natural-mineral-ptf-no-absorbible-suturas;Proveïdor: A28218675;130,71;48;;;0
P.A. 32/2021 HUP;7432340;Suministro de aplicadores de clips y endoaplicadores para el Hospital Universitario de la Princesa;01/07/2021 0:00;Resuelta;Hospital Universitario de La Princesa;"33141121;";375599,2;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-aplicadores-clips-endoaplicadores-hospital-universitario-princesa-0;Proveïdor: A28218675;31,49;11;;;0
PA SUM 21-018;7432343;Suministro de tornillos y clavos para el servicio de traumatología del Hospital Universitario de Fuenlabrada;26/07/2021 0:00;Resuelta;Hospital Universitario de Fuenlabrada;"33184100;";622066,5;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-tornillos-clavos-servicio-traumatologia-hospital-universitario-0;CPV prefix 33:  | Keywords: tornillos, Proveïdor: A28218675;41,5;15;;;0
PA 18-2021;7485237;Adquisición de dispositivos de corte y coagulación en el Hospital Universitario Severo Ochoa;;Resuelta;Hospital Universitario Severo Ochoa;"33162200;";1078870,1;https://contratos-publicos.comunidad.madrid/contrato-publico/adquisicion-dispositivos-corte-coagulacion-hospital-universitario-severo-ochoa;Proveïdor: A28218675;36,52;13;;;0
2021-0-77;7485240;"Suministro de prótesis de hombro y restrictores intramedulares para el Servicio de Traumatología&nbsp;del Hospital Universitario 12 de Octubre.";26/07/2021 0:00;Resuelta;Hospital Universitario 12 de Octubre;"33184100;";794267,2;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-protesis-hombro-restrictores-intramedulares-servicio-traumatologia;Proveïdor: A28218675;47,93;14;;;0
CP00087/2019;7489742;"Suministro de material de osteosíntesis específico para columna vertebral con destino a los hospitales de ASEPEYO, Mutua_x000D_
colaboradora con la Seguridad Social, nº 151.";25/01/2022 0:00;Resuelta;Subdirección General Sanitaria de ASEPEYO. Mutua Colaboradora con la Seguridad Social. num. 151;"33184100;";6631388,8;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=ovd0RjDw9%2F97h85%2Fpmmsfw%3D%3D;CPV prefix 33:  | Keywords: osteosintesis, Proveïdor: A28218675;83,45;10;;;0
2021-0-27;7492270;"Suministro de Sistema&nbsp;para Osteosíntesis de&nbsp;Fémur Distal, Húmero Proximal y Clavícula&nbsp;&nbsp;con destino el Servicio de Traumatología y&nbsp;de Cirugía Ortopédica(COT) del Hospital Universitario 12 de Octubre.";12/07/2021 0:00;Resuelta;Hospital Universitario 12 de Octubre;"33184100;";316931,0;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-sistema-osteosintesis-femurhumero-clavicula-destino-servicio;CPV prefix 33:  | Keywords: osteosintesis, Proveïdor: A28218675;45,15;15;;;0
PAPC 2021-1-27;7506022;Suministro de Prótesis y Expansores Mamarios y Otros Expansores Tisulares para el Hospital Universitario de Getafe;04/10/2021 0:00;Adjudicada;Hospital Universitario de Getafe;"33184400;";364668,64;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-protesis-expansores-mamarios-otros-expansores-tisulares-hospital;Proveïdor: A28218675;53,55;18;;;0
PA SUM 21-014;7628599;Suministro de suturas manuales para el Hospital Universitario de Fuenlabrada;22/10/2021 0:00;Resuelta;Hospital Universitario de Fuenlabrada;"33141120;";622503,04;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-suturas-manuales-hospital-universitario-fuenlabrada-0;Proveïdor: A28218675;50,83;18;;;0
PAPC 2021-1-17;7660682;"Suministro de&nbsp;Dispositivos Quirúrgicos con Suturas Mecánicas&nbsp;para el Hospital Universitario de Getafe";29/09/2021 0:00;Resuelta;Hospital Universitario de Getafe;"33140000;";2114785,2;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-dispositivos-quirurgicos-suturas-mecanicas-hospital-universitario;Proveïdor: A28218675;72,21;30;;;0
PA HUPA 59/21;7660686;Suministros de Apósitos Hemostáticos para el Hospital Universitario Príncipe de Asturias;;Resuelta;Hospital Universitario Príncipe de Asturias;"33140000;";462711,43;https://contratos-publicos.comunidad.madrid/contrato-publico/suministros-apositos-hemostaticos-hospital-universitario-principe-asturias;Proveïdor: A28218675;33,21;11;;;0
SSCC AM 152/21;7764468;Acuerdo Marco cerrado múltiple para la adquisición de material fungible de electrofisiología cardíaca con cesión de equipos para los centros del Servicio de Salud de las Islas Baleares;24/11/2021 0:00;Resuelta;Servicio de Salud de las Illes Balears;"33141000;";1183168,48;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=CwFQX9RqemGmq21uxhbaVQ%3D%3D;Proveïdor: A28218675;51,95;10;;;0
PA/04/2022;7771819;Suministro de material desechable para cirugía laparoscópica con destino a los centros sanitarios del Servicio Aragonés de Salud;07/02/2022 0:00;Resuelta;Centro de Gestion Integrada y Proyectos Corporativos;"33140000;";12184533,12;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=9JAnx%2FE40AOrz3GQd5r6SQ%3D%3D;Proveïdor: A28218675;255,72;43;;;0
P.A.S. 2021-5-16;7786103;Suministro de placas para cultivo de embriones;06/09/2021 0:00;Resuelta;Hospital Universitario La Paz;"33696500;";138050,0;https://contratos-publicos.comunidad.madrid/contrato-publico/suministro-placas-cultivo-embriones;CPV prefix 33:  | Keywords: placas;20,51;7;;;0
PA 101 HMS/2021;7884992;Material implantable para la Unidad de Pruebas Funcionales del Servicio de Digestivo del Hospital Universitario “Miguel Servet” de Zaragoza;01/03/2022 0:00;Resuelta;Gerencia Sector Sanitario de Zaragoza 2;"33184000;";1695992,64;https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2BtdOnr%2Boo9tvYnTkQN0%2FZA%3D%3D;CPV: 33184000;450,02;48;;;0
